,Activity_Time,Brightness,Light,End_Time,Activity_Time(last 2 hours),Start_SleepTime,Brightness(last 2 hours),Light(last 2 hours),Sleep quality,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
0,0 days 00:50:22.051000,33.0,25.0,2022-04-25 09:20:44.552000+01:00,0 days 00:21:27.844000,2022-04-25 01:53:00,33.0,25.5,3.0,2022-04-25 09:26:00,0 days 00:04:00,0 days,0 days,0 days 04:19:00,0 days 00:44:00,0 days 02:26:00,0 days 07:29:00
1,0 days 00:29:35.752000,40.0,2.5,2022-04-26 07:03:11.631000+01:00,0 days 00:27:40.686000,2022-04-25 22:57:00,67.0,43.0,3.0,2022-04-26 07:03:00,0 days 00:02:00,0 days,0 days,0 days 05:39:00,0 days 01:08:00,0 days 01:17:00,0 days 08:04:00
2,0 days 00:15:15.836000,50.5,0.0,2022-04-27 07:40:34.729000+01:00,0 days 00:14:56.337000,2022-04-26 21:52:00,62.0,0.0,4.0,2022-04-27 07:47:00,0 days 00:01:00,0 days,0 days,0 days 06:49:00,0 days 01:20:00,0 days 01:45:00,0 days 09:54:00
3,0 days 01:14:40.282000,68.0,43.5,2022-04-28 07:07:11.456000+01:00,0 days 01:14:40.282000,2022-04-28 00:20:00,68.0,48.0,3.0,2022-04-28 07:02:00,0 days 00:00:00,0 days,0 days,0 days 04:57:00,0 days 00:57:00,0 days 00:48:00,0 days 06:42:00
4,0 days 00:36:44.987000,66.0,24.0,2022-04-29 10:11:10.087000+01:00,0 days 00:02:50.217000,2022-04-29 02:33:00,65.0,26.0,3.0,2022-04-29 04:35:00,0 days 00:00:00,0 days,0 days,0 days 01:38:00,0 days 00:12:00,0 days 00:12:00,0 days 02:02:00
5,0 days 09:28:03.148000,49.0,3.0,2022-04-30 10:20:21.104000+01:00,0 days 00:39:35.783000,2022-04-30 01:57:00,39.0,39.0,2.0,2022-04-30 10:29:00,0 days 00:00:00,0 days,0 days,0 days 05:17:00,0 days 01:44:00,0 days 01:31:00,0 days 08:32:00
6,0 days 00:03:42.737000,52.0,9.0,2022-05-01 08:56:34.931000+01:00,0 days 00:03:42.737000,2022-05-01 00:51:00,52.0,9.0,2.5,2022-05-01 08:56:00,0 days 00:00:00,0 days,0 days,0 days 06:31:00,0 days 00:08:00,0 days 01:26:00,0 days 08:05:00
7,0 days 02:23:59.509000,49.0,3.0,2022-05-02 08:37:57.862000+01:00,0 days 01:36:38.872000,2022-05-02 00:05:00,55.0,21.5,3.0,2022-05-02 09:59:00,0 days 00:00:00,0 days,0 days,0 days 06:51:00,0 days 01:05:00,0 days 01:58:00,0 days 09:54:00
8,0 days 02:56:25.875000,52.0,4.0,2022-05-03 07:31:20.408000+01:00,0 days 01:56:04.544000,2022-05-03 00:23:00,50.0,2.0,3.0,2022-05-03 07:30:00,0 days 00:05:00,0 days,0 days,0 days 04:14:00,0 days 01:14:00,0 days 01:34:00,0 days 07:02:00
9,0 days 01:13:53.784000,54.0,18.0,2022-05-04 09:00:28.642000+01:00,0 days 00:11:20.015000,2022-05-04 01:39:00,54.5,22.5,1.5,2022-05-04 09:07:00,0 days 00:00:00,0 days,0 days,0 days 04:49:00,0 days 00:34:00,0 days 02:05:00,0 days 07:28:00
10,0 days 02:23:31.409000,52.5,11.5,2022-05-05 07:32:15.218000+01:00,0 days 00:39:48.624000,2022-05-05 00:55:00,47.0,5.0,2.0,2022-05-05 07:31:00,0 days 00:00:00,0 days,0 days,0 days 04:57:00,0 days 00:28:00,0 days 01:11:00,0 days 06:36:00
11,0 days 00:54:13.483000,55.0,20.5,2022-05-06 09:02:46.588000+01:00,0 days 00:18:07.235000,2022-05-06 00:57:00,56.0,20.5,2.0,2022-05-06 08:47:00,0 days 00:00:00,0 days,0 days,0 days 06:12:00,0 days 00:41:00,0 days 00:51:00,0 days 07:44:00
